"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL384467";"DEXAMETHASONE";"AEROSEB-DEX|DECADERM|DECADRON|DECADRON-75|DECASPRAY|DEXACORTISYL|DEXAFREE|DEXAMETHASONE|DEXAMETHASONE INTENSOL|DEXAMETHASONE METASULFOBENZOATE SODIUM|DEXAMETHASONE PALMITATE|DEXAMETHASONE VALERATE|DEXONE|DEXONE 0.5|DEXONE 0.75|DEXONE 1.5|DEXONE 4|DEXSOL|DEXTENZA|DEXYCU KIT|DROPODEX|Dalalone|Decadron-LA|Dexacen-4|Dexacort|Dexair|Dexamethasone|FLUORMETHYLPREDNISOLONE|GPPE EAR SPY|HEXADROL|ISV-305|Kortico Injection|MARTAPAN|MAXIDEX|MAXITROL|Mymethasone|NSC-34521|Neodecadron|ORADEXON|OTO-104|OTOMIZE|OZURDEX|SOFRADEX|SPERSADEX COMP|TOBRADEX";"Small molecule";"4";"392.47";"283";"2749";"1.90";"94.83";"5";"3";"0";"2";"N";"0.67";"12.42";"";"1.68";"1.68";"0";"MOL";"0";"28";"5";"3";"0";"392.1999";"NEUTRAL";"C22H29FO5";"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"
"CHEMBL1256978";"GSK-364735";"GSK-364735|GSK364735|S-364735";"Small molecule";"2";"371.37";"10";"172";"1.09";"104.45";"6";"3";"0";"5";"N";"0.62";"4.83";"2.24";"0.42";"-1.97";"3";"MOL";"0";"27";"7";"3";"0";"371.1281";"ACID";"C19H18FN3O4";"Cn1c(=O)c(C(=O)NCCO)c(O)c2ncc(Cc3ccc(F)cc3)cc21"
"CHEMBL109831";"DEXELVUCITABINE";"DEXELVUCITABINE|DPC-817|INCB-8721|REVERSET|YZ-817";"Small molecule";"2";"227.19";"19";"32";"-0.59";"90.37";"6";"2";"0";"2";"N";"0.66";"";"";"-0.81";"-0.81";"1";"MOL";"0";"16";"6";"3";"0";"227.0706";"";"C9H10FN3O3";"Nc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1F"
"CHEMBL4297088";"CHLORHEXIDINE GLUCONATE";"ACRIFLEX|AEROCIDE 1|BACTICLENS|BIOSCRUB|Brian care|CEPTON|CETRICLENS|CETRICLENS FTE|CHG SCRUB|CHLOHEXIDINE GLUCONATE |CHLORAPREP|CHLORHEX GLUCON|CHLORHEXIDINE D-DIGLUCONATE|CHLORHEXIDINE GLUCONATE|CIDA-STAT|CLINIVEX|CORSODYL|CORSODYL DAILY|CORSODYL DAILY DEFENCE|CURASEPT|CX 1|CYTEAL|Chlorhexidine gluconate|DISPRAY 1|DISPRAY 2|Dyna-hex|E-Z SCRUB|ECZMOL|EXIDINE|GPPE SOLN|GPPE TINCT|GPPE WSH|HIBI|HIBICET|HIBIDIL|HIBISCRUB|HIBISPRAY|HIBITANE PLUS|HYDREX|Hibiclens|Hibistat|Microderm|PAROEX|PERIO-KIN|PERIOGARD|PHISO-MED|PREVACARE R|PRIMAHEX|Peridex|Periochip|Pharmaseal Scrub Care|Prevacare|READYPREP CHG|ROTERSEPT|SAVLOCLENS|SAVLODIL|SAVLON HC|SAVLON JNR|STERETS TISEPT|STERETS UNISCRUB|STERETS UNISEPT|STEREXIDINE|STERI-STAT|TARODENT|TISEPT|URIFLEX-C";"Small molecule";"4";"897.77";"0";"";"4.18";"167.58";"4";"10";"2";"9";"N";"0.14";"";"10.45";"4.51";"-1.30";"2";"MOL";"0";"34";"10";"10";"2";"504.2032";"BASE";"C34H54Cl2N10O14";"N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1.O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO"
"CHEMBL160";"CYCLOSPORINE";"27-400|ANTIBIOTIC S-7481F1|CAPIMUNE|CAPSORIN|CEQUA|CICLOSPORIN|CYCLOSPORIN A|CYCLOSPORINE|DEXIMUNE|GENGRAF|IKERVIS|NEORAL|NSC-290193|OL-27-400|OPTIMMUNE|RESTASIS|RESTASIS MULTIDOSE|SANDIMMUN|SANDIMMUNE|SANG-35|SANGCYA|SDZ-OXL-400|VANQUORAL";"Protein";"4";"1202.63";"259";"3968";"";"";"";"";"";"";"";"";"";"";"";"";"";"BOTH";"0";"";"";"";"";"1201.8414";"";"C62H111N11O12";"C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C"
"CHEMBL4297283";"GLYCOVIR";"GLYCOVIR|NSC-670880";"Small molecule";"2";"499.65";"0";"";"3.95";"108.44";"9";"0";"0";"16";"N";"0.23";"";"7.01";"5.17";"5.02";"0";"MOL";"0";"35";"9";"0";"0";"499.3145";"NEUTRAL";"C26H45NO8";"CCCCN1C[C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](OC(=O)CCC)[C@H]1COC(=O)CCC"
"CHEMBL1201127";"DARUNAVIR ETHANOLATE";"DARUNAVIR ETHANOLATE|Darunavir Ethanolate|Darunavir ethanolate|PREZISTA";"Small molecule";"4";"593.74";"0";"";"2.38";"140.42";"8";"3";"1";"11";"N";"0.36";"13.59";"2.39";"2.82";"2.82";"2";"MOL";"0";"38";"10";"4";"1";"547.2352";"NEUTRAL";"C29H43N3O8S";"CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1.CCO"
"CHEMBL131";"PREDNISOLONE";"CORTALONE|DEKOTIL|DELTA-CORTEF|DELTACORTRIL|DELTALONE|DILACORT|Desowen|FERNISOLONE-P|Hydeltra|Hydeltra-Tba|METI-DERM|Meticortelone|NSC-9120|NSC-9900|Neo-Delta-Cortef|PEVANTI|PRECORTISYL|PRECORTISYL FTE|PREDNISOLONE|PRELONE|Poly-Pred|Pred-G|Prednisolone|SCHERIPROCT|STERANE|Servisone|Tridesilon|Verdeso";"Small molecule";"4";"360.45";"159";"1409";"1.56";"94.83";"5";"3";"0";"2";"N";"0.69";"12.59";"";"1.27";"1.27";"0";"MOL";"0";"26";"5";"3";"0";"360.1937";"NEUTRAL";"C21H28O5";"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO"
"CHEMBL449158";"BRYOSTATIN";"BRYOSTATIN|Bryostatin 1";"Small molecule";"2";"905.04";"674";"723";"4.28";"240.11";"17";"4";"2";"9";"N";"0.08";"10.59";"";"5.04";"5.04";"0";"MOL";"0";"64";"17";"4";"2";"904.4457";"NEUTRAL";"C47H68O17";"CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)C[C@H]2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@@H]4C/C(=C/C(=O)OC)C[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3"
"CHEMBL2103979";"THYMALFASIN";"THYMALFASIN|THYMOSIN ALPHA1|THYMOSINS THYMALFASIN|ZADAXIN";"Protein";"3";"3108.31";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BOTH";"0";"";"";"";"";"3106.5041";"";"C129H215N33O55";"CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(C)=O)C(C)C)[C@@H](C)O)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)O)C(C)C)C(C)C)[C@@H](C)O)[C@@H](C)O"
"CHEMBL2109562";"CAL";"CAL";"Antibody";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL2109047";"INTERFERON ALFA-N3";"ALFERON LDO|ALFERON N GEL|ALFERON N INJECTION|INTERFERON ALFA-N3|LEUKOCYTE INTERFERON";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL124363";"CENSAVUDINE";"4'-Ethynyl Stavudine|4'-Ethynylstavudine|BMS-986001|CENSAVUDINE|OBP-601";"Small molecule";"2";"248.24";"7";"39";"-0.71";"84.32";"5";"2";"0";"2";"N";"0.53";"9.95";"";"-0.08";"-0.08";"1";"MOL";"0";"18";"6";"2";"0";"248.0797";"NEUTRAL";"C12H12N2O4";"C#C[C@@]1(CO)C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1"
"CHEMBL38700";"ELVUCITABINE";"ACH-126,443|ELVUCITABINE";"Small molecule";"2";"227.19";"24";"121";"-0.59";"90.37";"6";"2";"0";"2";"N";"0.66";"";"";"-0.81";"-0.81";"1";"MOL";"0";"16";"6";"3";"0";"227.0706";"";"C9H10FN3O3";"Nc1nc(=O)n([C@@H]2C=C[C@H](CO)O2)cc1F"
"CHEMBL2107825";"TENOFOVIR ALAFENAMIDE";"GS-7340|GS-734003|TENOFOVIR ALAFENAMIDE|VEMLIDY";"Small molecule";"4";"476.47";"11";"31";"2.97";"143.48";"10";"2";"0";"11";"N";"0.31";"11.36";"3.74";"1.88";"1.88";"3";"MOL";"0";"33";"11";"3";"1";"476.1937";"NEUTRAL";"C21H29N6O5P";"CC(C)OC(=O)[C@H](C)N[P@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1"
"CHEMBL1789844";"IPILIMUMAB";"BMS-734016|IPILIMUMAB|MDX-010 MDX-CTLA4|MDX-101|MDX-CTLA-4|YERVOY";"Antibody";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1201572";"ETANERCEPT";"BENEPALI|ENBREL|ETANERCEPT|GP-2015|GP2015|GP2015C|HD203|L04AB01|LBEC0101|RHU TNFR:FC|RHU-TNFR:FC|TNFR-IMMUNOADHESIN";"Protein";"4";"";"2";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1743029";"IBALIZUMAB";"HU5A8|IBALIZUMAB|IBALIZUMAB-UIYK|TNX-355|Trogarzo";"Antibody";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL717";"MEDROXYPROGESTERONE ACETATE";"ADGYN MEDRO|AMEN|Amen|CLIMANOR|CURRETAB|CYCRIN|DEPO-PROGEVERA|DEPO-PROVERA|DEPO-PROVERA ONCOLOGY|DEPO-SUBQ PROVERA 104|FARLUTAL|FARLUTAL 100|FARLUTAL 200|FARLUTAL 250|FARLUTAL 500|Lunelle|MEDROXIPROGESTERONE ACETATE|MEDROXYPROGESTERONE|MEDROXYPROGESTERONE 17-ACETATE|MEDROXYPROGESTERONE ACETATE|Medroxyprogesterone Acetate|NSC-21171|NSC-26386|PROVERA|Prempro|Provera|SAYANA PRESS|TV-46046";"Small molecule";"4";"386.53";"157";"529";"4.66";"60.44";"4";"0";"0";"2";"N";"0.65";"";"";"4.13";"4.13";"0";"MOL";"0";"28";"4";"0";"0";"386.2457";"";"C24H34O4";"CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C"
"CHEMBL2104819";"LETRAZURIL";"LETRAZURIL";"Small molecule";"1";"391.19";"0";"";"3.02";"91.54";"5";"1";"0";"3";"N";"0.74";"6.50";"";"3.77";"2.86";"3";"MOL";"0";"26";"6";"1";"0";"390.0087";"NEUTRAL";"C17H9Cl2FN4O2";"N#CC(c1ccc(F)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl"
"CHEMBL2109341";"CCR5MAB004";"CCR5MAB004";"Antibody";"1";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL2108469";"MUPLESTIM";"HEMOKINE|INTERLEUKIN-3|INTERLEUKIN-3 MUPLESTIM|MUPLESTIM|SDZ ILE 964|SDZ-ILE-964";"Protein";"1";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2107384";"VICRIVIROC MALEATE";"MK-4176|SCH 417690|SCH417690|VICRIVIROC MALEATE";"Small molecule";"3";"649.71";"0";"";"4.50";"61.80";"6";"0";"1";"6";"N";"0.55";"";"8.44";"2.80";"1.72";"2";"MOL";"0";"38";"7";"0";"1";"533.2978";"NEUTRAL";"C32H42F3N5O6";"COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C.O=C(O)/C=C\C(=O)O"
"CHEMBL1200574";"SODIUM CHLORIDE";"10% SODIUM CHLORIDE INJECTION|AQSIA (BALANCED SALT SOLN)|ASKINA|ASKINA JET|B1655|BALANCED SALT|BRONCHO SALINE|BSS (BALANCED SALT SOLN)|FLOWFUSOR|FRESENIUS|HYPROMELLOSE IN RINGERS SOLN|IOCARE (BALANCED SALT SOLN)|IRRICLENS|ISOT SALINE|ISOTONIC|LABMIST|LOCKES|LS-1700|MACOPERF|MINIVERSOL|MURO 128|NINE LIVES|NORMASOL|NSC-77364|OFT CUSI ANTIEDEMA|OPTIFLO S|PHYSIOMER|RINGER'S|RINGER-LOCKE|S-CHLOR SF|SALEX|SALINE|SALINE SOLUTION|SALINE STERIPOULE|SALINEX|SEA WATER|SLOW SOD|SODICLOR|SODIUM CHLORIDE|SODIUM CHLORIDE SOLUTION|SODIUM CHLORIDE, HYPERTONIC|STERAC|STERI-WASH|STERIJET|SYRISAL|Sodium Chloride, Hypertonic|TOPICLENS|TUBILUX|Table Salt|URIFLEX-S|URIFLEX-SP|UROCLENS|VITACLEAN";"Small molecule";"4";"58.44";"15";"136";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOL";"1";"";"";"";"";"57.9586";"";"ClNa";"[Cl-].[Na+]"
"CHEMBL493982";"VORAPAXAR";"SCH-530348|VORAPAXAR";"Small molecule";"4";"492.59";"24";"96";"5.63";"77.52";"5";"1";"1";"5";"N";"0.55";"";"4.32";"5.04";"5.04";"2";"MOL";"0";"36";"6";"1";"1";"492.2424";"NEUTRAL";"C29H33FN2O4";"CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1"
"CHEMBL1149";"LEVOCARNITINE";"BICARNESINE|BIOCARN|CARNITOR|CARNITOR SF|Carnitine|LEVOCARNITINE|LEVOCARNITINE CHLORIDE|Vitamin Bt";"Small molecule";"4";"161.20";"121";"328";"-1.81";"60.36";"3";"1";"0";"4";"N";"0.49";"4.20";"";"-4.89";"-4.12";"0";"MOL";"0";"11";"4";"1";"0";"161.1052";"ACID";"C7H15NO3";"C[N+](C)(C)C[C@H](O)CC(=O)[O-]"
"CHEMBL374478";"RIFAMPIN";"BA 411661E|BA-41166E|EREMFAT|L-5103|L-5103 LEPETIT|NIH-10782|NSC-113926|RIFADIN|RIFAMPICIN|RIFAMPIN|RIFAMYCIN AMP|RIMACTANE|Rifampicin";"Small molecule";"4";"822.95";"303";"6315";"4.34";"220.15";"15";"6";"3";"4";"N";"0.11";"6.80";"7.37";"2.95";"2.87";"2";"MOL";"0";"59";"16";"6";"3";"822.4051";"NEUTRAL";"C43H58N4O12";"CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C"
"CHEMBL1366";"AURANOFIN";"AURANOFIN|RIDAURA|SK&F 39162|SK-39162";"Small molecule";"4";"678.49";"121";"506";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"678.1327";"";"C20H34AuO9PS";""
"CHEMBL294199";"CAPSAICIN";"ALGRX 4975|ALGRX-4975|CAPSAICIN|FEMA NO. 3404|NGX-1998|NGX-4010|NSC-56353|QUTENZA|ZACIN|ZOSTRIX|ZOSTRIX HP";"Small molecule";"4";"305.42";"159";"714";"3.79";"58.56";"3";"2";"0";"9";"N";"0.54";"9.93";"";"3.75";"3.75";"1";"MOL";"0";"22";"4";"2";"0";"305.1991";"NEUTRAL";"C18H27NO3";"COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O"
"CHEMBL1237022";"TOCILIZUMAB";"ACTEMRA ROACTEMRA|ATLIZUMAB|Actemra|MRA|MSB-11456|MSB11456|R-1569|RG-1569|RHPM-1|RO-4877533|ROACTEMRA|TOCILIZUMAB";"Antibody";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL465";"DRONABINOL";"ABBOTT 40566|ABBOTT-40566|DELTA-9-TETRAHYDROCANNABINOL|DELTA-9-THC|DRONABINOL|J882F|MARINOL|NSC-134454|QCD 84924|QCD-84924|SP 104|SP-104|SYNDROS";"Small molecule";"4";"314.47";"34";"351";"5.74";"29.46";"2";"1";"1";"4";"N";"0.57";"9.34";"";"5.94";"5.94";"1";"MOL";"0";"23";"2";"1";"1";"314.2246";"NEUTRAL";"C21H30O2";"CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21"
"CHEMBL1201438";"ALDESLEUKIN";"ALDESLEUKIN|HUMAN INTERLEUKIN-2|INTERLEUKIN 2|INTERLEUKIN-2 ALDESLEUKIN|PROLEUKIN";"Protein";"4";"";"2";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL2218911";"BEVIRIMAT DIMEGLUMINE";"BEVIRIMAT DIMEGLUMINE|BEVIRIMAT DIMEGLUMINE SALT|DSB*2NMG|PA-103001-01|PA-103001-04|PA-457|PA-457 DI-NMG|PA-457N|PA103001|PA103001-01|PA103001-04";"Small molecule";"2";"975.27";"0";"";"8.14";"100.90";"4";"2";"2";"6";"N";"0.24";"4.16";"";"8.00";"2.43";"0";"MOL";"0";"42";"6";"2";"2";"584.4077";"ACID";"C50H90N2O16";"C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO"
"CHEMBL929";"DELAVIRDINE MESYLATE";"DELAVIRDINE MESILATE|DELAVIRDINE MESYLATE|DELAVIRDINE METHANESULFONATE|RESCRIPTOR|Rescriptor|U-90152S|U-90152T";"Small molecule";"4";"552.68";"11";"111";"2.72";"110.43";"6";"3";"0";"6";"N";"0.53";"9.39";"6.82";"1.02";"0.92";"3";"MOL";"0";"32";"9";"3";"0";"456.1944";"NEUTRAL";"C23H32N6O6S2";"CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O"
"CHEMBL1201187";"MARAVIROC";"CELSENTRI|MARAVIROC|Maraviroc|Rel-Maraviroc|SELZENTRY|UK-427857";"Small molecule";"4";"513.68";"36";"153";"5.95";"63.05";"5";"1";"2";"8";"N";"0.47";"13.98";"9.35";"3.63";"1.68";"2";"MOL";"0";"37";"6";"1";"2";"513.3279";"BASE";"C29H41F2N5O";"Cc1nnc(C(C)C)n1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1"
"CHEMBL175691";"RILPIVIRINE";"EDURANT|R 278474|RILPIVIRINE|TMC-278|TMC278";"Small molecule";"4";"366.43";"25";"578";"4.99";"97.42";"6";"2";"0";"5";"N";"0.62";"11.43";"4.44";"5.47";"5.47";"3";"MOL";"0";"28";"6";"2";"0";"366.1593";"NEUTRAL";"C22H18N6";"Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1"
"CHEMBL1200706";"ALUMINUM HYDROXIDE";"ALU-CAP|ALUDROX|ALUMINIUM HYDROXIDE|ALUMINIUM HYDROXIDE GEL, DRIED|ALUMINUM HYDROXIDE|AMPHOJEL|DIALUME|DRIED ALUMINUM HYDROXIDE GEL|NSC-664400|SARPEP";"Small molecule";"4";"78.00";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOL";"1";"";"";"";"";"77.9898";"";"H3AlO3";"[Al+3].[OH-].[OH-].[OH-]"
"CHEMBL1200796";"CYCLOPHOSPHAMIDE";"B-518|CYCLOPHOSPHAMIDE|CYCLOPHOSPHAMIDE ANHYDROUS|CYCLOPHOSPHAMIDE HYDRATE|CYCLOPHOSPHAMIDE MONOHYDRATE|CYTOXAN|CYTOXAN (LYOPHILIZED)|ENDOXANA|LYOPHILIZED CYTOXAN|NEOSAR|NSC-26271";"Small molecule";"4";"279.10";"13";"23";"1.88";"41.57";"2";"1";"0";"5";"N";"0.61";"13.48";"0.02";"0.10";"0.10";"0";"MOL";"0";"14";"4";"1";"0";"260.0248";"NEUTRAL";"C7H17Cl2N2O3P";"O.O=P1(N(CCCl)CCCl)NCCCO1"
"CHEMBL1735";"INDINAVIR SULFATE";"CRIXIVAN|Crixivan|INDINAVIR SULFATE|INDINAVIR SULFATE ETHANOLATE|L-735,524|MK-639";"Small molecule";"4";"711.88";"14";"41";"2.87";"118.03";"7";"4";"1";"11";"N";"0.26";"13.01";"6.76";"2.81";"2.72";"3";"MOL";"0";"45";"9";"4";"1";"613.3628";"NEUTRAL";"C36H49N5O8S";"CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.O=S(=O)(O)O"
"CHEMBL1456";"MYCOPHENOLATE MOFETIL";"ARZIP|CELLCEPT|MYCOPHENOLATE MOFETIL|MYFENAX|RS-61443";"Small molecule";"4";"433.50";"119";"745";"2.52";"94.53";"8";"1";"0";"9";"N";"0.47";"9.76";"6.19";"3.47";"3.45";"1";"MOL";"0";"31";"8";"1";"0";"433.2101";"NEUTRAL";"C23H31NO7";"COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2"
"CHEMBL1200758";"AMPICILLIN SODIUM";"AMPICILLIN SODIUM|AMPICILLIN SODIUM SALT|Amp Equine|OMNIPEN|OMNIPEN-N|PENBRITIN|PENBRITIN-S|POLYCILLIN|POLYCILLIN-N|PRINCIPEN|Principen-N|TOTACILLIN|TOTACILLIN-N";"Small molecule";"4";"371.39";"32";"54";"0.32";"112.73";"5";"3";"0";"4";"N";"0.67";"3.24";"7.23";"-2.00";"-2.36";"1";"MOL";"0";"24";"7";"4";"0";"349.1096";"ACID";"C16H18N3NaO4S";"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]"
"CHEMBL690";"PRAVASTATIN SODIUM";"CS-514|ELISOR|EPTASTATIN SODIUM|LIPEMOL|LIPLAT|LIPOSTAT|PRAVACHOL|PRAVASTATIN SODIUM|SQ-31,000";"Small molecule";"4";"446.52";"19";"52";"2.44";"124.29";"6";"4";"0";"10";"N";"0.40";"4.21";"";"1.65";"-1.38";"0";"MOL";"0";"30";"7";"4";"0";"424.2461";"ACID";"C23H35NaO7";"CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]"
"CHEMBL3621988";"TUCIDINOSTAT";"CHIDAMIDE|CS-055|CS055|Epidaza in China|HBI-8000|TUCIDINOSTAT";"Small molecule";"3";"390.42";"11";"41";"3.38";"97.11";"4";"3";"0";"6";"N";"0.44";"";"4.84";"2.47";"2.46";"3";"MOL";"0";"29";"6";"4";"0";"390.1492";"NEUTRAL";"C22H19FN4O2";"Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1"
"CHEMBL105318";"ALOVUDINE";"ALOVUDINE|CL 184,824|CL 184824|CL-184,824|NSC-140025";"Small molecule";"2";"244.22";"25";"101";"-0.54";"84.32";"5";"2";"0";"2";"N";"0.73";"10.11";"";"-0.23";"-0.23";"1";"MOL";"0";"17";"6";"2";"0";"244.0859";"NEUTRAL";"C10H13FN2O4";"Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O"
