"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Parent Molecule ChEMBL ID"
"CHEMBL1771";"CLOPIDOGREL";"Small molecule";"4";"1997";"'-grel'";"COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1";"Purinergic receptor P2Y12 antagonist";"Irreversible inhibitor";"";"CHEMBL2001";"Purinergic receptor P2Y12";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=0078fb3d-3595-4ae1-a059-1d5e81c879cf URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0078fb3d-3595-4ae1-a059-1d5e81c879cf";"Clopidogrel Bisulfate (FDA, USAN, USP)|Clopidogrel hydrogen sulfate (MI)|Clopidogrel sulfate (JAN)|Clopidogrel (BAN, INN, MI)|";"B01AC04";"B01AC - Platelet aggregation inhibitors excl. heparin";"B01A - ANTITHROMBOTIC AGENTS";"B01 - ANTITHROMBOTIC AGENTS";"B - BLOOD AND BLOOD FORMING ORGANS";"CHEMBL1771"
"CHEMBL1751";"DIGOXIN";"Small molecule";"4";"1975";"'-oxin'";"C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O";"Sodium/potassium-transporting ATPase inhibitor";"";"";"CHEMBL2095186";"Sodium/potassium-transporting ATPase";"INHIBITOR";"PROTEIN COMPLEX GROUP";"Homo sapiens";"K/Na-ATPase alpha subunit";"Alpha subunit is binding site";"Type: DailyMed RefID: setid=8a919762-ede5-4aa9-8688-65010c9a5641 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8a919762-ede5-4aa9-8688-65010c9a5641|Type: Wikipedia RefID: Digoxin URL: http://en.wikipedia.org/wiki/Digoxin";"Digoxin (BAN, FDA, INN, JAN, MI, USP)|";"C01AA05";"C01AA - Digitalis glycosides";"C01A - CARDIAC GLYCOSIDES";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"CHEMBL1751"
"CHEMBL1115";"PYRIDOSTIGMINE";"Small molecule";"4";"1955";"'-stigmine'";"CN(C)C(=O)Oc1ccc[n+](C)c1";"Acetylcholinesterase inhibitor";"";"";"CHEMBL220";"Acetylcholinesterase";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=30cb0b9f-e308-4501-90c2-b17349c048b7 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=30cb0b9f-e308-4501-90c2-b17349c048b7|Type: Wikipedia RefID: Pyridostigmine#Mode_of_action URL: http://en.wikipedia.org/wiki/Pyridostigmine#Mode_of_action";"Pyridostigmine Bromide (BAN, FDA, INN, JAN, MI, USP)|";"N07AA02";"N07AA - Anticholinesterases";"N07A - PARASYMPATHOMIMETICS";"N07 - OTHER NERVOUS SYSTEM DRUGS";"N - NERVOUS SYSTEM";"CHEMBL1115"
"CHEMBL1064";"SIMVASTATIN";"Small molecule";"4";"1991";"'-stat-'";"CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21";"HMG-CoA reductase inhibitor";"";"";"CHEMBL402";"HMG-CoA reductase";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=e9e50cdb-4cef-4d03-9fb6-973d0c2bf293 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e9e50cdb-4cef-4d03-9fb6-973d0c2bf293";"Simvastatin (BAN, FDA, INN, JAN, MI, USAN, USP)|";"C10AA01";"C10AA - HMG CoA reductase inhibitors";"C10A - LIPID MODIFYING AGENTS, PLAIN";"C10 - LIPID MODIFYING AGENTS";"C - CARDIOVASCULAR SYSTEM";"CHEMBL1064"
"CHEMBL1789941";"RUXOLITINIB";"Small molecule";"4";"2011";"'-tinib'";"N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1";"Tyrosine-protein kinase JAK1 inhibitor";"";"";"CHEMBL2835";"Tyrosine-protein kinase JAK1";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: FDA RefID: label/2012/202192s001lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202192s001lbl.pdf";"Ruxolitinib (INN, MI, USAN)|Ruxolitinib Phosphate (FDA, JAN, MI, USAN)|";"L01XE18";"L01XE - Protein kinase inhibitors";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL1789941"
"CHEMBL3545347";"TXA127";"Protein";"2";"";"";"CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)O";"Proto-oncogene Mas agonist";"A pharmaceutical grade formulation of endogenous ligand";"";"CHEMBL3559701";"Proto-oncogene Mas";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 12829792 URL: http://europepmc.org/abstract/MED/12829792";"TXA-127";"";"";"";"";"";"CHEMBL3545347"
"CHEMBL672";"FENOFIBRATE";"Small molecule";"4";"1993";"'-fibrate'";"CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1";"Peroxisome proliferator-activated receptor alpha agonist";"";"";"CHEMBL239";"Peroxisome proliferator-activated receptor alpha";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=24790a18-0291-4b88-a724-acac43b616ce URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=24790a18-0291-4b88-a724-acac43b616ce";"Fenofibrate (BAN, FDA, INN, JAN, MI, USAN, USP)|";"C10AB05";"C10AB - Fibrates";"C10A - LIPID MODIFYING AGENTS, PLAIN";"C10 - LIPID MODIFYING AGENTS";"C - CARDIOVASCULAR SYSTEM";"CHEMBL672"
"CHEMBL428647";"PACLITAXEL";"Small molecule";"4";"1992";"'-taxel'";"CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C";"Tubulin inhibitor";"";"";"CHEMBL2095182";"Tubulin";"INHIBITOR";"PROTEIN COMPLEX GROUP";"Homo sapiens";"Beta tubulin paclitaxel binding site";"Binds to beta tubulin";"Type: DailyMed RefID: setid=24d10449-2936-4cd3-b7db-a7683db721e4#section-15 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=24d10449-2936-4cd3-b7db-a7683db721e4#section-15|Type: Wikipedia RefID: Microtubule URL: http://en.wikipedia.org/wiki/Microtubule";"Paclitaxel (BAN, FDA, INN, JAN, MI, USAN, USP)|";"L01CD01";"L01CD - Taxanes";"L01C - PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL428647"
"CHEMBL504";"DIMETHYL SULFOXIDE";"Small molecule";"4";"1978";"";"C[S+](C)[O-]";"Unknown";"";"";"";"";"";"";"";"";"";"Type: PubMed RefID: 17661513 URL: http://europepmc.org/abstract/MED/17661513|Type: PubMed RefID: 3510103 URL: http://europepmc.org/abstract/MED/3510103";"Dimethyl Sulfoxide (BAN, FDA, INN, MI, USAN, USP)|";"M02AX03 | G04BX13";"M02AX - Other topical products for joint and muscular pain | G04BX - Other urologicals";"M02A - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN | G04B - UROLOGICALS";"M02 - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN | G04 - UROLOGICALS";"M - MUSCULO-SKELETAL SYSTEM | G - GENITO URINARY SYSTEM AND SEX HORMONES";"CHEMBL504"
"CHEMBL1201570";"ANAKINRA";"Protein";"4";"2001";"'-kinra'";"";"Interleukin-1 receptor antagonist";"";"";"CHEMBL1959";"Interleukin-1 receptor";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=d9d74915-6606-4570-9c52-c4001d3177de URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d9d74915-6606-4570-9c52-c4001d3177de";"Anakinra (BAN, FDA, INN, USAN)|";"L04AC03";"L04AC - Interleukin inhibitors";"L04A - IMMUNOSUPPRESSANTS";"L04 - IMMUNOSUPPRESSANTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL1201570"
"CHEMBL160";"CYCLOSPORINE";"Protein";"4";"1983";"";"C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C";"Cyclophilin A modulator";"";"";"CHEMBL1949";"Cyclophilin A";"MODULATOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: FDA RefID: label/2013/050573s039,050574s047,050625s053lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/050573s039,050574s047,050625s053lbl.pdf|Type: PubMed RefID: 15879096 URL: http://europepmc.org/abstract/MED/15879096|Type: PubMed RefID: 18385230 URL: http://europepmc.org/abstract/MED/18385230|Type: PubMed RefID: 22642569 URL: http://europepmc.org/abstract/MED/22642569";"Ciclosporin (BAN, INN, JAN)|Cyclosporin A (MI)|Cyclosporine (FDA, USAN, USP)|";"S01XA18 | L04AD01";"S01XA - Other ophthalmologicals | L04AD - Calcineurin inhibitors";"S01X - OTHER OPHTHALMOLOGICALS | L04A - IMMUNOSUPPRESSANTS";"S01 - OPHTHALMOLOGICALS | L04 - IMMUNOSUPPRESSANTS";"S - SENSORY ORGANS | L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL160"
"CHEMBL1201334";"TRIPTORELIN";"Protein";"4";"2000";"'-relin'";"CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O";"Gonadotropin-releasing hormone receptor agonist";"";"";"CHEMBL1855";"Gonadotropin-releasing hormone receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=a2f71c34-4493-4d58-9c23-f8543babe95f#section-13 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a2f71c34-4493-4d58-9c23-f8543babe95f#section-13";"Triptorelin (BAN, INN, MI, USAN)|Triptorelin Pamoate (FDA, MI, USAN)|";"L02AE04";"L02AE - Gonadotropin releasing hormone analogues";"L02A - HORMONES AND RELATED AGENTS";"L02 - ENDOCRINE THERAPY";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL1201334"
"CHEMBL114";"SAQUINAVIR";"Small molecule";"4";"1995";"'-vir'";"CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1";"Human immunodeficiency virus type 1 protease inhibitor";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"INHIBITOR";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"";"";"Type: DailyMed RefID: setid=c00d1607-ac36-457b-a34b-75ad74f9cf0a URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c00d1607-ac36-457b-a34b-75ad74f9cf0a";"Saquinavir (BAN, FDA, INN, JAN, MI, USAN, USP)|Saquinavir mesilate (JAN)|Saquinavir Mesylate (FDA, USAN, USP)|Saquinavir methanesulfonate salt (MI)|";"J05AE01";"J05AE - Protease inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL114"
"CHEMBL86";"METOCLOPRAMIDE";"Small molecule";"4";"1979";"";"CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC";"Dopamine D2 receptor antagonist";"";"";"CHEMBL217";"Dopamine D2 receptor";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: FDA RefID: label/2011/017854s058lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/017854s058lbl.pdf|Type: Wikipedia RefID: Metoclopramide URL: http://en.wikipedia.org/wiki/Metoclopramide";"Metoclopramide (JAN, BAN, INN, JAN, MI)|Metoclopramide HCl (FDA, JAN, USAN, USP)|";"A03FA01";"A03FA - Propulsives";"A03F - PROPULSIVES";"A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS";"A - ALIMENTARY TRACT AND METABOLISM";"CHEMBL86"
"CHEMBL717";"MEDROXYPROGESTERONE ACETATE";"Small molecule";"4";"1959";"'-gest-; -ster-'";"CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C";"Progesterone receptor agonist";"";"";"CHEMBL208";"Progesterone receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=199cf13e-0859-4a73-9b45-e700d0cd1049#nlm34090-1 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=199cf13e-0859-4a73-9b45-e700d0cd1049#nlm34090-1";"Medroxyprogesterone (BAN, INN)|Medroxyprogesterone 17-acetate (MI)|Medroxyprogesterone acetate (FDA, JAN, USP)|";"L02AB02 | G03AC06 | G03DA02";"L02AB - Progestogens | G03AC - Progestogens | G03DA - Pregnen (4) derivatives";"L02A - HORMONES AND RELATED AGENTS | G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE | G03D - PROGESTOGENS";"L02 - ENDOCRINE THERAPY | G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM | G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | G - GENITO URINARY SYSTEM AND SEX HORMONES | G - GENITO URINARY SYSTEM AND SEX HORMONES";"CHEMBL717"
"CHEMBL741";"LAMOTRIGINE";"Small molecule";"4";"1994";"'-trigine'";"Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1";"Sodium channel alpha subunit blocker";"";"";"CHEMBL2331043";"Sodium channel alpha subunit";"BLOCKER";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=d7e3572d-56fe-4727-2bb4-013ccca22678#nlm34090-1 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d7e3572d-56fe-4727-2bb4-013ccca22678#nlm34090-1|Type: PubMed RefID: 15208697 URL: http://europepmc.org/abstract/MED/15208697|Type: PubMed RefID: 23205958 URL: http://europepmc.org/abstract/MED/23205958|Type: PubMed RefID: 23239147 URL: http://europepmc.org/abstract/MED/23239147";"Lamotrigine (BAN, FDA, INN, JAN, MI, USAN, USP)|";"N03AX09";"N03AX - Other antiepileptics";"N03A - ANTIEPILEPTICS";"N03 - ANTIEPILEPTICS";"N - NERVOUS SYSTEM";"CHEMBL741"
"CHEMBL532";"ERYTHROMYCIN";"Small molecule";"4";"1964";"'-mycin'";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O";"Bacterial 70S ribosome inhibitor";"";"";"CHEMBL2363135";"Bacterial 70S ribosome";"INHIBITOR";"PROTEIN NUCLEIC-ACID COMPLEX";"Bacteria";"23S ribosomal RNA";"23S RRNA";"Type: DailyMed RefID: setid=9a63da11-01be-4c63-a260-e6bdbb4a7a69 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9a63da11-01be-4c63-a260-e6bdbb4a7a69|Type: PubMed RefID: 20876130 URL: http://europepmc.org/abstract/MED/20876130";"Erythromycin Lactobionate (BAN, FDA, JAN, MI, USP)|Erythromycin gluceptate (FDA, USP)|Erythromycin Stearate (BAN, FDA, JAN, USP)|Erythromycin (BAN, FDA, INN, JAN, MI, USP)|";"J01FA01 | D10AF02 | S01AA17 | D10AF52";"J01FA - Macrolides | D10AF - Antiinfectives for treatment of acne | S01AA - Antibiotics | D10AF - Antiinfectives for treatment of acne";"J01F - MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE | S01A - ANTIINFECTIVES | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE | D10 - ANTI-ACNE PREPARATIONS | S01 - OPHTHALMOLOGICALS | D10 - ANTI-ACNE PREPARATIONS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | D - DERMATOLOGICALS | S - SENSORY ORGANS | D - DERMATOLOGICALS";"CHEMBL532"
"CHEMBL2109341";"CCR5MAB004";"Antibody";"1";"";"";"";"C-C chemokine receptor type 5 inhibitor";"";"";"CHEMBL274";"C-C chemokine receptor type 5";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 18266604 URL: http://europepmc.org/abstract/MED/18266604";"CCR5MAB004";"";"";"";"";"";"CHEMBL2109341"
"CHEMBL1138";"EZETIMIBE";"Small molecule";"4";"2002";"'-imibe'";"O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1";"Niemann-Pick C1-like protein 1 inhibitor";"";"";"CHEMBL2027";"Niemann-Pick C1-like protein 1";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=1396b8b6-651a-4f2f-a2c1-0165173b2eff#section-12 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1396b8b6-651a-4f2f-a2c1-0165173b2eff#section-12";"Ezetimibe (BAN, FDA, INN, JAN, MI, USAN, USP)|";"C10AX09";"C10AX - Other lipid modifying agents";"C10A - LIPID MODIFYING AGENTS, PLAIN";"C10 - LIPID MODIFYING AGENTS";"C - CARDIOVASCULAR SYSTEM";"CHEMBL1138"
"CHEMBL628";"PENTOXIFYLLINE";"Small molecule";"4";"1984";"'-fylline'";"CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O";"3',5'-cyclic phosphodiesterase inhibitor";"";"";"CHEMBL2363066";"3',5'-cyclic phosphodiesterase";"INHIBITOR";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: FDA RefID: label/2012/018631s039lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/018631s039lbl.pdf|Type: PubMed RefID: 11692087 URL: http://europepmc.org/abstract/MED/11692087|Type: PubMed RefID: 18568240 URL: http://europepmc.org/abstract/MED/18568240|Type: Wikipedia RefID: Pentoxifylline URL: http://en.wikipedia.org/wiki/Pentoxifylline";"Oxpentifylline (BAN)|Pentoxifylline (BAN, FDA, INN, JAN, MI, USAN, USP)|";"C04AD03";"C04AD - Purine derivatives";"C04A - PERIPHERAL VASODILATORS";"C04 - PERIPHERAL VASODILATORS";"C - CARDIOVASCULAR SYSTEM";"CHEMBL628"
"CHEMBL483254";"PANOBINOSTAT";"Small molecule";"4";"2015";"'-stat'";"Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1";"Histone deacetylase inhibitor";"";"";"CHEMBL2093865";"Histone deacetylase";"INHIBITOR";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: FDA RefID: label/2015/205353s000lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/205353s000lbl.pdf";"Panobinostat (INN, MI, USAN)|Panobinostat lactate (FDA)|";"L01XX42";"L01XX - Other antineoplastic agents";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL483254"
"CHEMBL1789844";"IPILIMUMAB";"Antibody";"4";"2011";"'-mab'";"";"Cytotoxic T-lymphocyte protein 4 inhibitor";"";"";"CHEMBL2364164";"Cytotoxic T-lymphocyte protein 4";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=2265ef30-253e-11df-8a39-0800200c9a66 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2265ef30-253e-11df-8a39-0800200c9a66";"Ipilimumab (FDA, INN, MI, USAN)|";"L01XC11";"L01XC - Monoclonal antibodies";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL1789844"
"CHEMBL223228";"EFAVIRENZ";"Small molecule";"4";"1998";"'-vir-; ef-'";"O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1";"Human immunodeficiency virus type 1 reverse transcriptase inhibitor";"";"";"CHEMBL247";"Human immunodeficiency virus type 1 reverse transcriptase";"INHIBITOR";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"";"";"Type: DailyMed RefID: setid=32d6371e-ba56-4294-b732-6d43627c5c47 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=32d6371e-ba56-4294-b732-6d43627c5c47";"Efavirenz (BAN, FDA, INN, JAN, MI, USP)|";"J05AG03";"J05AG - Non-nucleoside reverse transcriptase inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL223228"
"CHEMBL1098";"BUPIVACAINE";"Small molecule";"4";"1972";"'-caine'";"CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C";"Sodium channel protein type IV alpha subunit blocker";"";"";"CHEMBL2072";"Sodium channel protein type IV alpha subunit";"BLOCKER";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 12761351 URL: http://europepmc.org/abstract/MED/12761351";"Bupivacaine (BAN, FDA, INN, MI, USAN)|Bupivacaine HCl (FDA, JAN, MI, USAN, USP)|Bupivacaine hydrochloride hydrate (JAN)|Bupivacaine hydrochloride monohydrate (MI)|Bupivacaine hydrochloride rs (USP)|";"N01BB51 | N01BB01";"N01BB - Amides | N01BB - Amides";"N01B - ANESTHETICS, LOCAL | N01B - ANESTHETICS, LOCAL";"N01 - ANESTHETICS | N01 - ANESTHETICS";"N - NERVOUS SYSTEM | N - NERVOUS SYSTEM";"CHEMBL1098"
"CHEMBL1460";"DIDANOSINE";"Small molecule";"4";"1991";"";"O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1";"Human immunodeficiency virus type 1 reverse transcriptase inhibitor";"";"";"CHEMBL247";"Human immunodeficiency virus type 1 reverse transcriptase";"INHIBITOR";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"";"";"Type: DailyMed RefID: setid=22e2ca82-c7b5-4f03-9a81-81e130237565 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=22e2ca82-c7b5-4f03-9a81-81e130237565";"Didanosine (BAN, FDA, INN, JAN, MI, USAN, USP)|Didanosine system suitability mixture (USP)|";"J05AF02";"J05AF - Nucleoside and nucleotide reverse transcriptase inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL1460"
"CHEMBL2110727";"CENICRIVIROC";"Small molecule";"3";"";"'-vir-; -viroc'";"CCCCOCCOc1ccc(-c2ccc3c(c2)/C=C(/C(=O)Nc2ccc([S@@+]([O-])Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1";"C-C chemokine receptor type 5 antagonist";"";"";"CHEMBL274";"C-C chemokine receptor type 5";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 16251299 URL: http://europepmc.org/abstract/MED/16251299|Type: PubMed RefID: 21317794 URL: http://europepmc.org/abstract/MED/21317794|Type: PubMed RefID: 21486960 URL: http://europepmc.org/abstract/MED/21486960";"Cenicriviroc Mesylate (USAN)|Cenicriviroc (INN, USAN)|";"";"";"";"";"";"CHEMBL2110727"
"CHEMBL635";"PREDNISONE";"Small molecule";"4";"1955";"'pred-'";"C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO";"Glucocorticoid receptor agonist";"";"";"CHEMBL2034";"Glucocorticoid receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: ISBN RefID: 978-1-889788-85-2 URL: http://www.isbnsearch.org/isbn/9781889788852|Type: PubMed RefID: 22850902 URL: http://europepmc.org/abstract/MED/22850902|Type: Wikipedia RefID: Glucocorticoid URL: http://en.wikipedia.org/wiki/Glucocorticoid";"Prednisone (BAN, FDA, INN, MI, USP)|Prednisone tablets (USP)|";"H02AB07 | A07EA03";"H02AB - Glucocorticoids | A07EA - Corticosteroids acting locally";"H02A - CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN | A07E - INTESTINAL ANTIINFLAMMATORY AGENTS";"H02 - CORTICOSTEROIDS FOR SYSTEMIC USE | A07 - ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS";"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS | A - ALIMENTARY TRACT AND METABOLISM";"CHEMBL635"
